iso3c,country,year,gdp_pc_current_usd,health_exp_pct_gdp,htn_prevalence_pct,htn_treatment_pct
ARG,Argentina,2015,10315.86,9.49,45.9,49.9
ARG,Argentina,2015,10315.86,9.49,45.9,41.8
ARG,Argentina,2015,10315.86,9.49,45.9,35.0
ARG,Argentina,2015,10315.86,9.49,51.7,49.9
ARG,Argentina,2015,10315.86,9.49,51.7,41.8
ARG,Argentina,2015,10315.86,9.49,51.7,35.0
ARG,Argentina,2015,10315.86,9.49,40.4,49.9
ARG,Argentina,2015,10315.86,9.49,40.4,41.8
ARG,Argentina,2015,10315.86,9.49,40.4,35.0
ARG,Argentina,2016,10165.88,9.37,40.6,49.5
ARG,Argentina,2016,10165.88,9.37,40.6,41.7
ARG,Argentina,2016,10165.88,9.37,40.6,35.1
ARG,Argentina,2016,10165.88,9.37,46.3,49.5
ARG,Argentina,2016,10165.88,9.37,46.3,41.7
ARG,Argentina,2016,10165.88,9.37,46.3,35.1
ARG,Argentina,2016,10165.88,9.37,52.3,49.5
ARG,Argentina,2016,10165.88,9.37,52.3,41.7
ARG,Argentina,2016,10165.88,9.37,52.3,35.1
ARG,Argentina,2017,11017.14,9.4,46.7,41.5
ARG,Argentina,2017,11017.14,9.4,46.7,35.2
ARG,Argentina,2017,11017.14,9.4,46.7,49.1
ARG,Argentina,2017,11017.14,9.4,52.8,41.5
ARG,Argentina,2017,11017.14,9.4,52.8,35.2
ARG,Argentina,2017,11017.14,9.4,52.8,49.1
ARG,Argentina,2017,11017.14,9.4,40.8,41.5
ARG,Argentina,2017,11017.14,9.4,40.8,35.2
ARG,Argentina,2017,11017.14,9.4,40.8,49.1
ARG,Argentina,2018,10374.68,9.71,53.4,41.3
ARG,Argentina,2018,10374.68,9.71,53.4,35.2
ARG,Argentina,2018,10374.68,9.71,53.4,48.6
ARG,Argentina,2018,10374.68,9.71,41.0,41.3
ARG,Argentina,2018,10374.68,9.71,41.0,35.2
ARG,Argentina,2018,10374.68,9.71,41.0,48.6
ARG,Argentina,2018,10374.68,9.71,47.1,41.3
ARG,Argentina,2018,10374.68,9.71,47.1,35.2
ARG,Argentina,2018,10374.68,9.71,47.1,48.6
ARG,Argentina,2019,11250.06,9.43,54.0,48.1
ARG,Argentina,2019,11250.06,9.43,54.0,41.0
ARG,Argentina,2019,11250.06,9.43,54.0,35.3
ARG,Argentina,2019,11250.06,9.43,47.5,48.1
ARG,Argentina,2019,11250.06,9.43,47.5,41.0
ARG,Argentina,2019,11250.06,9.43,47.5,35.3
ARG,Argentina,2019,11250.06,9.43,41.2,48.1
ARG,Argentina,2019,11250.06,9.43,41.2,41.0
ARG,Argentina,2019,11250.06,9.43,41.2,35.3
ARG,Argentina,2020,10597.67,9.59,,
ARG,Argentina,2021,11073.03,9.47,,
ARG,Argentina,2022,10693.49,9.65,,
ARG,Argentina,2023,10871.3,9.55,,
ARG,Argentina,2024,10786.9,9.46,,
AUS,Australia,2015,53874.15,9.42,26.2,55.7
AUS,Australia,2015,53874.15,9.42,26.2,48.4
AUS,Australia,2015,53874.15,9.42,26.2,51.7
AUS,Australia,2015,53874.15,9.42,32.4,55.7
AUS,Australia,2015,53874.15,9.42,32.4,48.4
AUS,Australia,2015,53874.15,9.42,32.4,51.7
AUS,Australia,2015,53874.15,9.42,29.3,55.7
AUS,Australia,2015,53874.15,9.42,29.3,48.4
AUS,Australia,2015,53874.15,9.42,29.3,51.7
AUS,Australia,2016,55425.33,9.54,26.2,54.3
AUS,Australia,2016,55425.33,9.54,26.2,50.9
AUS,Australia,2016,55425.33,9.54,26.2,48.1
AUS,Australia,2016,55425.33,9.54,32.4,54.3
AUS,Australia,2016,55425.33,9.54,32.4,50.9
AUS,Australia,2016,55425.33,9.54,32.4,48.1
AUS,Australia,2016,55425.33,9.54,29.3,54.3
AUS,Australia,2016,55425.33,9.54,29.3,50.9
AUS,Australia,2016,55425.33,9.54,29.3,48.1
AUS,Australia,2017,56285.29,9.45,26.2,52.7
AUS,Australia,2017,56285.29,9.45,26.2,49.9
AUS,Australia,2017,56285.29,9.45,26.2,47.6
AUS,Australia,2017,56285.29,9.45,29.2,52.7
AUS,Australia,2017,56285.29,9.45,29.2,49.9
AUS,Australia,2017,56285.29,9.45,29.2,47.6
AUS,Australia,2017,56285.29,9.45,32.3,52.7
AUS,Australia,2017,56285.29,9.45,32.3,49.9
AUS,Australia,2017,56285.29,9.45,32.3,47.6
AUS,Australia,2018,57159.63,9.32,32.3,47.2
AUS,Australia,2018,57159.63,9.32,32.3,48.9
AUS,Australia,2018,57159.63,9.32,32.3,51.1
AUS,Australia,2018,57159.63,9.32,29.2,47.2
AUS,Australia,2018,57159.63,9.32,29.2,48.9
AUS,Australia,2018,57159.63,9.32,29.2,51.1
AUS,Australia,2018,57159.63,9.32,26.3,47.2
AUS,Australia,2018,57159.63,9.32,26.3,48.9
AUS,Australia,2018,57159.63,9.32,26.3,51.1
AUS,Australia,2019,55029.61,9.35,32.3,46.7
AUS,Australia,2019,55029.61,9.35,32.3,48.0
AUS,Australia,2019,55029.61,9.35,32.3,49.5
AUS,Australia,2019,55029.61,9.35,29.3,46.7
AUS,Australia,2019,55029.61,9.35,29.3,48.0
AUS,Australia,2019,55029.61,9.35,29.3,49.5
AUS,Australia,2019,55029.61,9.35,26.3,46.7
AUS,Australia,2019,55029.61,9.35,26.3,48.0
AUS,Australia,2019,55029.61,9.35,26.3,49.5
AUS,Australia,2020,55487.88,9.32,,
AUS,Australia,2021,56798.67,9.44,,
AUS,Australia,2022,54665.45,9.38,,
AUS,Australia,2023,56811.53,9.56,,
AUS,Australia,2024,58846.4,9.77,,
BGD,Bangladesh,2015,2379.5,2.47,23.7,37.6
BGD,Bangladesh,2015,2379.5,2.47,23.7,41.3
BGD,Bangladesh,2015,2379.5,2.47,23.7,32.9
BGD,Bangladesh,2015,2379.5,2.47,28.0,37.6
BGD,Bangladesh,2015,2379.5,2.47,28.0,41.3
BGD,Bangladesh,2015,2379.5,2.47,28.0,32.9
BGD,Bangladesh,2015,2379.5,2.47,32.6,37.6
BGD,Bangladesh,2015,2379.5,2.47,32.6,41.3
BGD,Bangladesh,2015,2379.5,2.47,32.6,32.9
BGD,Bangladesh,2016,2493.64,2.48,28.2,41.4
BGD,Bangladesh,2016,2493.64,2.48,28.2,33.2
BGD,Bangladesh,2016,2493.64,2.48,28.2,37.9
BGD,Bangladesh,2016,2493.64,2.48,23.6,41.4
BGD,Bangladesh,2016,2493.64,2.48,23.6,33.2
BGD,Bangladesh,2016,2493.64,2.48,23.6,37.9
BGD,Bangladesh,2016,2493.64,2.48,32.9,41.4
BGD,Bangladesh,2016,2493.64,2.48,32.9,33.2
BGD,Bangladesh,2016,2493.64,2.48,32.9,37.9
BGD,Bangladesh,2017,2552.39,2.56,28.4,41.5
BGD,Bangladesh,2017,2552.39,2.56,28.4,33.5
BGD,Bangladesh,2017,2552.39,2.56,28.4,38.0
BGD,Bangladesh,2017,2552.39,2.56,33.3,41.5
BGD,Bangladesh,2017,2552.39,2.56,33.3,33.5
BGD,Bangladesh,2017,2552.39,2.56,33.3,38.0
BGD,Bangladesh,2017,2552.39,2.56,23.6,41.5
BGD,Bangladesh,2017,2552.39,2.56,23.6,33.5
BGD,Bangladesh,2017,2552.39,2.56,23.6,38.0
BGD,Bangladesh,2018,2466.17,2.49,23.6,41.5
BGD,Bangladesh,2018,2466.17,2.49,23.6,33.8
BGD,Bangladesh,2018,2466.17,2.49,23.6,38.2
BGD,Bangladesh,2018,2466.17,2.49,28.6,41.5
BGD,Bangladesh,2018,2466.17,2.49,28.6,33.8
BGD,Bangladesh,2018,2466.17,2.49,28.6,38.2
BGD,Bangladesh,2018,2466.17,2.49,33.8,41.5
BGD,Bangladesh,2018,2466.17,2.49,33.8,33.8
BGD,Bangladesh,2018,2466.17,2.49,33.8,38.2
BGD,Bangladesh,2019,2545.11,2.55,28.8,41.5
BGD,Bangladesh,2019,2545.11,2.55,28.8,38.4
BGD,Bangladesh,2019,2545.11,2.55,28.8,34.1
BGD,Bangladesh,2019,2545.11,2.55,23.5,41.5
BGD,Bangladesh,2019,2545.11,2.55,23.5,38.4
BGD,Bangladesh,2019,2545.11,2.55,23.5,34.1
BGD,Bangladesh,2019,2545.11,2.55,34.2,41.5
BGD,Bangladesh,2019,2545.11,2.55,34.2,38.4
BGD,Bangladesh,2019,2545.11,2.55,34.2,34.1
BGD,Bangladesh,2020,2480.55,2.52,,
BGD,Bangladesh,2021,2641.06,2.48,,
BGD,Bangladesh,2022,2494.28,2.51,,
BGD,Bangladesh,2023,2540.64,2.54,,
BGD,Bangladesh,2024,2587.08,2.48,,
BRA,Brazil,2015,8758.74,9.74,43.5,68.7
BRA,Brazil,2015,8758.74,9.74,43.5,59.2
BRA,Brazil,2015,8758.74,9.74,43.5,49.7
BRA,Brazil,2015,8758.74,9.74,45.5,68.7
BRA,Brazil,2015,8758.74,9.74,45.5,59.2
BRA,Brazil,2015,8758.74,9.74,45.5,49.7
BRA,Brazil,2015,8758.74,9.74,47.5,68.7
BRA,Brazil,2015,8758.74,9.74,47.5,59.2
BRA,Brazil,2015,8758.74,9.74,47.5,49.7
BRA,Brazil,2016,8744.76,9.67,45.4,50.9
