iso3c,country,year,gdp_pc_current_usd,health_exp_pct_gdp,htn_prevalence_pct,htn_treatment_pct,country_id,year_c,log_gdp,log_gdp_z,health_exp_z,year_z,htn_prev_z,htn_treat_z
ARG,Argentina,2015,10315.86,9.49,45.9,49.9,0,-2.5,9.241437795757538,-0.08214040744418769,0.6608784521785533,-1.212678125181665,1.6758182507131492,0.21900450230486593
ARG,Argentina,2015,10315.86,9.49,45.9,41.8,0,-2.5,9.241437795757538,-0.08214040744418769,0.6608784521785533,-1.212678125181665,1.6758182507131492,-0.2802271492906539
ARG,Argentina,2015,10315.86,9.49,45.9,35.0,0,-2.5,9.241437795757538,-0.08214040744418769,0.6608784521785533,-1.212678125181665,1.6758182507131492,-0.6993352024819542
ARG,Argentina,2015,10315.86,9.49,51.7,49.9,0,-2.5,9.241437795757538,-0.08214040744418769,0.6608784521785533,-1.212678125181665,2.471692413124002,0.21900450230486593
ARG,Argentina,2015,10315.86,9.49,51.7,41.8,0,-2.5,9.241437795757538,-0.08214040744418769,0.6608784521785533,-1.212678125181665,2.471692413124002,-0.2802271492906539
ARG,Argentina,2015,10315.86,9.49,51.7,35.0,0,-2.5,9.241437795757538,-0.08214040744418769,0.6608784521785533,-1.212678125181665,2.471692413124002,-0.6993352024819542
ARG,Argentina,2015,10315.86,9.49,40.4,49.9,0,-2.5,9.241437795757538,-0.08214040744418769,0.6608784521785533,-1.212678125181665,0.9211099932545824,0.21900450230486593
ARG,Argentina,2015,10315.86,9.49,40.4,41.8,0,-2.5,9.241437795757538,-0.08214040744418769,0.6608784521785533,-1.212678125181665,0.9211099932545824,-0.2802271492906539
ARG,Argentina,2015,10315.86,9.49,40.4,35.0,0,-2.5,9.241437795757538,-0.08214040744418769,0.6608784521785533,-1.212678125181665,0.9211099932545824,-0.6993352024819542
ARG,Argentina,2016,10165.88,9.37,40.6,49.5,0,-1.5,9.226792293884454,-0.09464697873891745,0.6242120974216103,-0.7276068751089989,0.9485539298894398,0.19435108741126012
ARG,Argentina,2016,10165.88,9.37,40.6,41.7,0,-1.5,9.226792293884454,-0.09464697873891745,0.6242120974216103,-0.7276068751089989,0.9485539298894398,-0.286390503014055
ARG,Argentina,2016,10165.88,9.37,40.6,35.1,0,-1.5,9.226792293884454,-0.09464697873891745,0.6242120974216103,-0.7276068751089989,0.9485539298894398,-0.6931718487585526
ARG,Argentina,2016,10165.88,9.37,46.3,49.5,0,-1.5,9.226792293884454,-0.09464697873891745,0.6242120974216103,-0.7276068751089989,1.730706123982863,0.19435108741126012
ARG,Argentina,2016,10165.88,9.37,46.3,41.7,0,-1.5,9.226792293884454,-0.09464697873891745,0.6242120974216103,-0.7276068751089989,1.730706123982863,-0.286390503014055
ARG,Argentina,2016,10165.88,9.37,46.3,35.1,0,-1.5,9.226792293884454,-0.09464697873891745,0.6242120974216103,-0.7276068751089989,1.730706123982863,-0.6931718487585526
ARG,Argentina,2016,10165.88,9.37,52.3,49.5,0,-1.5,9.226792293884454,-0.09464697873891745,0.6242120974216103,-0.7276068751089989,2.554024223028572,0.19435108741126012
ARG,Argentina,2016,10165.88,9.37,52.3,41.7,0,-1.5,9.226792293884454,-0.09464697873891745,0.6242120974216103,-0.7276068751089989,2.554024223028572,-0.286390503014055
ARG,Argentina,2016,10165.88,9.37,52.3,35.1,0,-1.5,9.226792293884454,-0.09464697873891745,0.6242120974216103,-0.7276068751089989,2.554024223028572,-0.6931718487585526
ARG,Argentina,2017,11017.14,9.4,46.7,41.5,0,-0.5,9.30720752089298,-0.025976148713460972,0.6333786861108464,-0.24253562503633297,1.7855939972525776,-0.29871721046085814
ARG,Argentina,2017,11017.14,9.4,46.7,35.2,0,-0.5,9.30720752089298,-0.025976148713460972,0.6333786861108464,-0.24253562503633297,1.7855939972525776,-0.6870084950351512
ARG,Argentina,2017,11017.14,9.4,46.7,49.1,0,-0.5,9.30720752089298,-0.025976148713460972,0.6333786861108464,-0.24253562503633297,1.7855939972525776,0.16969767251765427
ARG,Argentina,2017,11017.14,9.4,52.8,41.5,0,-0.5,9.30720752089298,-0.025976148713460972,0.6333786861108464,-0.24253562503633297,2.6226340646157147,-0.29871721046085814
ARG,Argentina,2017,11017.14,9.4,52.8,35.2,0,-0.5,9.30720752089298,-0.025976148713460972,0.6333786861108464,-0.24253562503633297,2.6226340646157147,-0.6870084950351512
ARG,Argentina,2017,11017.14,9.4,52.8,49.1,0,-0.5,9.30720752089298,-0.025976148713460972,0.6333786861108464,-0.24253562503633297,2.6226340646157147,0.16969767251765427
ARG,Argentina,2017,11017.14,9.4,40.8,41.5,0,-0.5,9.30720752089298,-0.025976148713460972,0.6333786861108464,-0.24253562503633297,0.9759978665242962,-0.29871721046085814
ARG,Argentina,2017,11017.14,9.4,40.8,35.2,0,-0.5,9.30720752089298,-0.025976148713460972,0.6333786861108464,-0.24253562503633297,0.9759978665242962,-0.6870084950351512
ARG,Argentina,2017,11017.14,9.4,40.8,49.1,0,-0.5,9.30720752089298,-0.025976148713460972,0.6333786861108464,-0.24253562503633297,0.9759978665242962,0.16969767251765427
ARG,Argentina,2018,10374.68,9.71,53.4,41.3,0,0.5,9.247123501249739,-0.0772850817806991,0.7281001025662819,0.24253562503633297,2.7049658745202856,-0.3110439179076613
ARG,Argentina,2018,10374.68,9.71,53.4,35.2,0,0.5,9.247123501249739,-0.0772850817806991,0.7281001025662819,0.24253562503633297,2.7049658745202856,-0.6870084950351512
ARG,Argentina,2018,10374.68,9.71,53.4,48.6,0,0.5,9.247123501249739,-0.0772850817806991,0.7281001025662819,0.24253562503633297,2.7049658745202856,0.1388809039006469
ARG,Argentina,2018,10374.68,9.71,41.0,41.3,0,0.5,9.247123501249739,-0.0772850817806991,0.7281001025662819,0.24253562503633297,1.0034418031591534,-0.3110439179076613
ARG,Argentina,2018,10374.68,9.71,41.0,35.2,0,0.5,9.247123501249739,-0.0772850817806991,0.7281001025662819,0.24253562503633297,1.0034418031591534,-0.6870084950351512
ARG,Argentina,2018,10374.68,9.71,41.0,48.6,0,0.5,9.247123501249739,-0.0772850817806991,0.7281001025662819,0.24253562503633297,1.0034418031591534,0.1388809039006469
ARG,Argentina,2018,10374.68,9.71,47.1,41.3,0,0.5,9.247123501249739,-0.0772850817806991,0.7281001025662819,0.24253562503633297,1.8404818705222914,-0.3110439179076613
ARG,Argentina,2018,10374.68,9.71,47.1,35.2,0,0.5,9.247123501249739,-0.0772850817806991,0.7281001025662819,0.24253562503633297,1.8404818705222914,-0.6870084950351512
